TechCorp,2025-03-26T17:10:42.498693900,33
GreenEnergy,2025-03-26T17:10:42.518694800,3
HealthPlus,2025-03-26T17:10:42.518694800,187
TechCorp,2025-03-26T17:10:42.524690200,31
GreenEnergy,2025-03-26T17:10:42.525690900,13
HealthPlus,2025-03-26T17:10:42.525690900,195
TechCorp,2025-03-26T17:10:47.525209800,41
GreenEnergy,2025-03-26T17:10:47.525737200,6
HealthPlus,2025-03-26T17:10:47.526261300,204
TechCorp,2025-03-26T17:10:52.525485500,40
GreenEnergy,2025-03-26T17:10:52.525485500,10
HealthPlus,2025-03-26T17:10:52.526486,212
TechCorp,2025-03-26T17:10:57.525520700,44
GreenEnergy,2025-03-26T17:10:57.526045400,9
HealthPlus,2025-03-26T17:10:57.526569200,202
TechCorp,2025-03-26T17:11:02.526042400,53
GreenEnergy,2025-03-26T17:11:02.527050800,16
HealthPlus,2025-03-26T17:11:02.527050800,212
TechCorp,2025-03-26T17:11:07.526174300,51
GreenEnergy,2025-03-26T17:11:07.527169300,20
HealthPlus,2025-03-26T17:11:07.528169600,212
TechCorp,2025-03-26T17:11:12.527155400,56
GreenEnergy,2025-03-26T17:11:12.528156200,11
HealthPlus,2025-03-26T17:11:12.528156200,207
TechCorp,2025-03-26T17:11:17.527666100,62
GreenEnergy,2025-03-26T17:11:17.528197200,13
HealthPlus,2025-03-26T17:11:17.528733900,210
TechCorp,2025-03-26T17:11:22.527284200,64
GreenEnergy,2025-03-26T17:11:22.528296100,14
HealthPlus,2025-03-26T17:11:22.528296100,213
TechCorp,2025-03-26T17:11:27.527506800,65
GreenEnergy,2025-03-26T17:11:27.528030800,11
HealthPlus,2025-03-26T17:11:27.528563800,222
TechCorp,2025-03-26T17:11:32.527884,55
GreenEnergy,2025-03-26T17:11:32.528883300,3
HealthPlus,2025-03-26T17:11:32.528883300,218
TechCorp,2025-03-26T17:11:37.528346500,64
GreenEnergy,2025-03-26T17:11:37.528867900,1
HealthPlus,2025-03-26T17:11:37.529390200,220
TechCorp,2025-03-26T17:11:42.528884500,57
GreenEnergy,2025-03-26T17:11:42.528884500,4
HealthPlus,2025-03-26T17:11:42.529884700,219
TechCorp,2025-03-26T17:17:20.566373,57
GreenEnergy,2025-03-26T17:17:20.581738400,4
HealthPlus,2025-03-26T17:17:20.582285200,219
TechCorp,2025-03-26T17:17:20.588316300,63
